"name","sort_name","id","shortname"
"Arts & Culture","Arts & Culture",1,"Arts"
"Book Clubs","Book Clubs",18,"Book Clubs"
"Career & Business","Career & Business",2,"Business"
"Cars & Motorcycles","Cars & Motorcycles",3,"Auto"
"Community & Environment","Community & Environment",4,"Community"
"Dancing","Dancing",5,"Dancing"
"Education & Learning","Education & Learning",6,"Education"
"Fashion & Beauty","Fashion & Beauty",8,"Fashion"
"Fitness","Fitness",9,"Fitness"
"Food & Drink","Food & Drink",10,"Food & Drink"
"Games","Games",11,"Games"
"Movements & Politics","Movements & Politics",13,"Movements"
"Health & Wellbeing","Health & Wellbeing",14,"Well-being"
"Hobbies & Crafts","Hobbies & Crafts",15,"Crafts"
"Language & Ethnic Identity","Language & Ethnic Identity",16,"Languages"
"LGBT","LGBT",12,"LGBT"
"Lifestyle","Lifestyle",17,"Lifestyle"
"Movies & Film","Movies & Film",20,"Films"
"Music","Music",21,"Music"
"New Age & Spirituality","New Age & Spirituality",22,"Spirituality"
"Outdoors & Adventure","Outdoors & Adventure",23,"Outdoors"
"Paranormal","Paranormal",24,"Paranormal"
"Parents & Family","Parents & Family",25,"Moms & Dads"
"Pets & Animals","Pets & Animals",26,"Pets"
"Photography","Photography",27,"Photography"
"Religion & Beliefs","Religion & Beliefs",28,"Beliefs"
"Sci-Fi & Fantasy","Sci-Fi & Fantasy",29,"Sci fi"
"Singles","Singles",30,"Singles"
"Socializing","Socializing",31,"Social"
"Sports & Recreation","Sports & Recreation",32,"Sports"
"Support","Support",33,"Support"
"Tech","Tech",34,"Tech"
"Writing","Writing",36,"Writing"
