"visibility","waitlist_count","maybe_rsvp_count","id","time","yes_rsvp_count","status","rsvp_limit","duration","rating.count","rating.average","group.id"
"public",0,13,"9272195",1237564800000,48,"past",NA,NA,6,4.5,1331888
"public",0,0,"10392767",1245426300000,32,"past",NA,NA,6,4.32999992370605,1331888
"public",0,1,"10693847",1253026800000,2,"past",NA,NA,0,0,1331888
"public",0,4,"11095259",1256662800000,6,"past",NA,NA,1,5,1331888
"public",0,0,"11752104",1267203600000,52,"past",60,NA,12,4.75,1331888
"public",0,9,"12921317",1276873200000,41,"past",60,NA,9,4.67000007629395,1331888
"public",0,0,"13437436",1277222400000,2,"past",NA,NA,2,4.5,1331888
"public",0,0,"13980913",1284476400000,37,"past",60,NA,7,3.5699999332428,1331888
"public",0,7,"13980931",1.291914e+12,39,"past",75,NA,3,4.67000007629395,1331888
"public",0,0,"15676717",1295625600000,61,"past",70,NA,9,4.21999979019165,1331888
"public",0,0,"15895210",1297094400000,36,"past",50,NA,5,5,1331888
"public",0,0,"16700335",1.299519e+12,8,"past",NA,NA,3,5,1331888
"public",0,0,"17553116",1307462400000,54,"past",80,NA,9,4.78000020980835,1331888
"public",0,0,"17477980",1312552800000,97,"past",101,NA,14,4.5,1331888
"public",0,0,"27688861",1316442600000,70,"past",80,NA,6,4.17000007629395,1331888
"public",0,0,"40788812",1330450200000,18,"past",NA,NA,4,4.75,1331888
"public",0,0,"56299712",1334161800000,67,"past",70,NA,10,4.69999980926514,1331888
"public",0,0,"64073742",1342110600000,69,"past",80,NA,7,4.42999982833862,1331888
"public",0,0,"60164092",1347291900000,47,"past",NA,NA,3,5,1331888
"public",0,0,"93036042",1355852700000,9,"past",NA,NA,2,5,1331888
"public",0,0,"90576062",1358355600000,67,"past",NA,NA,5,4.59999990463257,1331888
"public",0,0,"153209122",1386662400000,5,"past",10,37800000,1,3,1331888
"public",0,0,"170129172",1397147400000,29,"past",NA,NA,3,4,1331888
"public",0,0,"170131132",1400171400000,25,"past",NA,NA,3,5,1331888
"public",0,0,"187185782",1404475200000,31,"past",NA,NA,4,4.25,1331888
"public",0,0,"187063262",1.40976e+12,32,"past",NA,NA,3,5,1331888
"public",0,0,"183412562",1411732800000,18,"past",50,NA,2,5,1331888
"public",0,0,"187061652",1412695800000,38,"past",NA,NA,4,4.75,1331888
"public",0,0,"187063652",1418144400000,18,"past",NA,NA,2,5,1331888
"public",0,0,"218891713",1418287500000,12,"past",NA,32400000,1,5,1331888
"public",0,0,"220866129",1431102600000,22,"past",NA,NA,3,5,1331888
"public",0,0,"222454444",1.434645e+12,21,"past",30,NA,4,5,1331888
"public",0,0,"223959875",1438498800000,15,"past",NA,32400000,1,5,1331888
"public",0,0,"220797669",1438691400000,32,"past",NA,NA,2,5,1331888
"public",0,0,"226724200",1449073800000,49,"past",NA,NA,3,4.67000007629395,1331888
"public",0,0,"228730261",1459354500000,31,"past",NA,NA,1,5,1331888
"public",0,0,"228679997",1468504800000,63,"past",NA,NA,6,4.67000007629395,1331888
"public",0,0,"232235577",1468519200000,6,"past",NA,NA,0,0,1331888
"public",0,0,"232746808",1473699600000,63,"past",100,NA,2,5,1331888
"public",0,0,"234144306",1479403800000,19,"past",NA,NA,4,4.75,1331888
"public",0,0,"237604756",1.495125e+12,50,"past",50,NA,4,4,1331888
"public",0,0,"240294657",1500568200000,33,"past",NA,NA,3,4.67000007629395,1331888
"public",0,0,"242116487",1.507824e+12,13,"past",15,NA,1,5,1331888
"public",0,0,"241971582",1509643800000,47,"past",60,NA,1,5,1331888
"public",0,0,"244719873",1511452800000,23,"past",26,NA,2,4.5,1331888
"public",0,0,"19514831",1307487600000,40,"past",NA,NA,14,4.71000003814697,1909241
"public",0,0,"22316591",1308673800000,28,"past",NA,NA,8,4.5,1909241
"public",0,0,"25004721",1.311093e+12,54,"past",NA,NA,14,4.6399998664856,1909241
"public",0,0,"29729371",1314721800000,79,"past",NA,NA,22,4.73000001907349,1909241
"public",0,0,"35980102",1318350600000,90,"past",90,NA,15,4.59999990463257,1909241
"public",18,0,"40057372",1321552800000,70,"past",70,NA,5,4,1909241
"public",9,0,"43286852",1323797400000,80,"past",82,NA,8,3.88000011444092,1909241
"public",0,0,"44483332",1324112400000,15,"past",20,NA,2,4.5,1909241
"public",1,0,"43753752",1.328031e+12,90,"past",90,NA,14,4.3600001335144,1909241
"public",13,0,"52922282",1330450200000,90,"past",90,NA,14,4.6399998664856,1909241
"public",9,0,"60692412",1.335285e+12,90,"past",90,NA,11,4.09000015258789,1909241
"public",51,0,"65544132",1.338309e+12,95,"past",95,12600000,25,4.67999982833862,1909241
"public",18,0,"69853662",1340728200000,90,"past",90,12600000,12,4.32999992370605,1909241
"public",32,0,"74516822",1343752200000,90,"past",90,12600000,20,4.80000019073486,1909241
"public",0,0,"77515772",1345811400000,51,"past",NA,7200000,1,4,1909241
"public",10,0,"83989092",1349195400000,90,"past",90,12600000,13,4.61999988555908,1909241
"public",1,0,"87375812",1351618200000,90,"past",90,14400000,8,4.61999988555908,1909241
"public",0,0,"94195282",1.355247e+12,84,"past",90,14400000,11,4.82000017166138,1909241
"public",2,0,"100995462",1359480600000,89,"past",90,18000000,9,4.67000007629395,1909241
"public",37,0,"108943862",1364232600000,90,"past",90,14400000,13,4.92000007629395,1909241
"public",14,0,"115918302",1367339400000,90,"past",90,14400000,8,4.61999988555908,1909241
"public",0,0,"120065742",1369758600000,83,"past",90,14400000,3,5,1909241
"public",3,0,"123861602",1372177800000,90,"past",90,14400000,13,4.69000005722046,1909241
"public",7,0,"135055112",1.377621e+12,90,"past",90,14400000,6,4.32999992370605,1909241
"public",0,0,"141480952",1380040200000,90,"past",90,14400000,2,5,1909241
"public",0,0,"147203882",1383067800000,90,"past",90,14400000,6,4.82999992370605,1909241
"public",6,0,"151270052",1.385487e+12,90,"past",90,14400000,3,4.67000007629395,1909241
"public",7,0,"162108542",1390930200000,90,"past",90,12600000,0,0,1909241
"public",0,0,"167510502",1393349400000,82,"past",90,NA,4,4.75,1909241
"public",13,0,"178757202",1.398789e+12,90,"past",90,NA,3,4.67000007629395,1909241
"public",27,0,"181266562",1409070600000,90,"past",90,NA,9,4.8899998664856,1909241
"public",22,0,"219957473",1422379800000,90,"past",90,10800000,1,4,1909241
"public",11,0,"220559809",1.424799e+12,91,"past",90,10800000,1,5,1909241
"public",0,0,"221394273",1427819400000,96,"past",90,NA,2,5,1909241
"public",7,0,"222017990",1430238600000,90,"past",90,NA,4,4.75,1909241
"public",0,0,"222595962",1432657800000,89,"past",90,10800000,0,0,1909241
"public",0,0,"223438790",1435681800000,82,"past",90,10800000,3,5,1909241
"public",11,0,"224143674",1.438101e+12,90,"past",90,10800000,1,3,1909241
"public",0,0,"224606314",1443544200000,84,"past",90,12600000,4,3.5,1909241
"public",0,0,"226207253",1.445967e+12,85,"past",90,10800000,1,5,1909241
