"urlkey","name","topic_id"
"ai","Artificial Intelligence",456
"ia","Information Architecture",1369
"semweb","Semantic Web",1372
"web","Web Technology",10209
"web-3-0","Web 3.0",17956
"ontology","Ontology",17957
"owl","OWL",23004
"rdf","RDF",23005
"web-ontology-language","Web Ontology Language",23006
"linked-data","Linked Data",24778
"web-of-data","Web of Data",25583
"semantic-technologies","Semantic Technologies",27882
"semantic-social-networks","Semantic Social Networks",49585
"semantic-search","Semantic Search",76404
"lotico","Lotico",100547
"data-visualization","Data Visualization",37381
"datenjournalismus","Datenjournalismus",1446652
"java","Java",189
"php","PHP",455
"webdesign","Web Design",659
"softwaredev","Software Development",3833
"javascript","JavaScript",7029
"newtech","New Technology",9696
"ria","Rich Internet Applications",9886
"web-development","Web Development",15582
"berlin","Berlin",17991
"android-developers","Android Development",20346
"hacking","Hacking",21123
"mobile-development","Mobile Development",21441
"computer-programming","Computer programming",48471
"makerspaces","Makerspaces",101438
"ios-development","iOS Development",127567
"big-data","Big Data",18062
"database-development","Database Development",21506
"nosql","NoSQL",58162
"neo4j","Neo4j",179941
"graph-databases","Graph Databases",193021
"lisp","Lisp & Scheme",2400
"programming-languages","Programming Languages",17628
"functional-programming","Functional Programming",22792
"clojure","Clojure",29661
"jvm-languages","JVM Languages",107750
"opensource","Open Source",563
"google","Google",6490
"technology","Technology",10579
"cloud-computing","Cloud Computing",15167
"google-technology-user-group","Google Technology User Group",27790
"app-engine","App Engine",29465
"google-developer-group","Google Developer Group",989262
"scala","Scala",17936
"innovation","Innovation",1954
"healthpros","Health Professionals",7102
"healthcare-it","Healthcare IT",19076
"entrepreneurship","Entrepreneurship",19882
"healthy-living","Healthy Living",20221
"startup-businesses","Startup Businesses",21681
"health-it-professional","Health IT Professional",64286
"health-2-0","Health 2.0",114539
"healthcare-innovation","Healthcare Innovation",154951
"digital-health","Digital Health",154954
"healthcare-startups","healthcare startups",1187272
"future","Futurology",429
"smallbiz","Small Business",389
"socialnetwork","Social Networking",4422
"internetpro","Internet Professionals",10102
"online-marketing","Online Marketing",15585
"business-strategy","Business Strategy",17635
"german-culture","German Culture",23707
"symfony","Symfony",23718
"css","CSS",1973
"html5","HTML5",78565
"css3","CSS3",78566
"web-application-development","web application development",150657
"geeks-nerds","Geeks & Nerds",32623
"hardware","Hardware",86985
"hardware-hacks-gadgeteering","Hardware Hacks & Gadgeteering",164824
"open-source-hardware","Open Source Hardware",403852
"cocoa","Cocoa Programming Language",9848
"mobile-technology","Mobile Technology",16216
"objective-c","Objective C",21477
"user-group","User Group",17638
"mongodb","MongoDB",121802
"haskell","Haskell",22791
"high-scalability-computing","High Scalability Computing",24410
"high-performance-computing","High Performance Computing",77687
"parallel-programming","Parallel Programming",77822
"concurrent-programming","Concurrent Programming",107751
"html","HTML",53518
"javascript-frameworks","JavaScript Frameworks",85951
"angularjs","AngularJS",939612
"javascript-applications","JavaScript Applications",964072
"linux","Linux",188
"sysadmin","System Administration",2109
"software-engineering","Software Engineering",16325
"virtualization","Virtualization",20479
"configuration-management","Configuration Management",46810
"data-center-and-operations-automation","Data Center and Operations Automation",46831
"devops","DevOps",87614
"infrastructure-as-code","Infrastructure as Code",126177
"f-programming","F# Programming",62405
"clojurescript","ClojureScript",832902
"journo","Reporters and Journalists",1548
"media","Media",1702
"newmedia","New Media",1851
"social-media","Social Media",15401
"digital-media","Digital Media",17188
"journalism","Journalism",44584
"hackshackers","HacksHackers",90489
"edtech","Education & Technology",7203
"witi","Women in Technology",10296
"personal-development","Personal Development",16468
"learning","Learning",18296
"social-coding","Social Coding",90286
"inclusive-diverse","Inclusive & Diverse",114172
"ruby","Ruby",1040
"founders","Founders",46616
"product-management","Product Management",93740
"internet-startups","Internet Startups",128595
"co-founder","co-founder",134586
"salesforce","Salesforce.com",10464
"paas","PaaS (Platform as a Service)",31197
"saas-software-as-a-service","SaaS (Software as a Service)",33089
"force-com","Force.com",164165
"search-engine-marketing","Search Engine Marketing",17601
"seo-search-engine-optimization","SEO (Search Engine Optimization)",23199
"solr","Solr",77841
"search-engines","Search Engines",105317
"elasticsearch","Elasticsearch",1058992
"apache-lucene","Apache Lucene",1498302
"python","Python",1064
"web-new-technology","Web & New Technology",57240
"new-product-development-software-tech","New Product Development: Software & Tech",62946
"data-science","Data Science",102811
"python-web-development","Python Web Development",917242
"internet-ecommerce","E-Commerce",27954
"virtual-currency","Virtual Currency",70315
"bitcoin","Bitcoin",139517
"digital-currency","Digital Currency",143713
"gui","Graphical User Interfaces",1081
"ixd","Interaction Design",10110
"user-experience","User Experience",19243
"web-application","Web Application",23836
"usability","Usability",26938
"ux-design","UX Design",61781
"ui-design","UI Design",107583
"mobile-user-experience","Mobile User Experience",122974
"databasepro","Database Professionals",1245
"web-performance","Web Performance",15091
"nodejs","nodeJS",101960
"symfony2","Symfony2",308411
"internet-technology-professionals-startups","Internet Technology Professionals & Startups",787972
"machine-learning","Machine Learning",29971
"data-analytics","Data Analytics",30928
"mathematics","Mathematics",33876
"predictive-analytics","Predictive Analytics",38458
"productdesign","Product Design",2993
"product-development","Product Development",42012
"software-product-management","Software Product Management",42278
"software-modeling","Software Modeling",164220
"metrics","Metrics",879262
"digitalart","Digital Art",594
"graphicdesign","Graphic Design",781
"art","Art",1502
"animation","Animation",1589
"abstract-art","Abstract Art",16277
"3d-modeling","3D Modeling",21429
"graphic-arts","Graphic Arts",21948
"cg-artists","CG artists",24143
"3d-artists","3D Artists",24147
"3d-animation","3D Animation",25718
"processing","Processing",41488
"graphics","Graphics",66974
"generative-art","Generative Art",283281
"creative-coding","Creative Coding",705622
"ruby-on-rails","Ruby On Rails",20837
"jruby","JRuby",54413
"operations-and-data-center-management","Operations and Data Center Management",46817
"openstack","OpenStack",142180
"puppet","Puppet",148303
"cloud-storage","Cloud Storage",291351
"opscode-chef","Opscode Chef",431622
"cloud-networking","Cloud Networking",509242
"agile-programming","Agile programming",1504638
"it-infrastructure","IT Infrastructure",20480
"system-administrators","System Administrators",753702
"mysql","MySQL",789
"ember-js","Ember JS",632142
"ember-data","Ember Data",1190082
"continuous-integration","Continuous Integration",27922
"best-practices-in-it-web-solutions-design-and-dev","Best Practices in IT/Web Solutions Design and Dev",35062
"opscode","opscode",113415
"continuous-delivery","Continuous Delivery",166000
"web-operations","Web Operations",230341
"dev-ops","Dev Ops",257541
"oracle","Oracle",2544
"hadoop","Hadoop",18060
"mapreduce","MapReduce",27591
"hbase","HBase",61680
"cassandra","Cassandra",77842
"apache-hive","Apache Hive",1116062
"webstandards","Web Standards",417
"meteor","Meteor",921432
"open-source-frameworks","Open Source Frameworks",999172
"jquery","JQuery",16137
"agile-project-management","Agile Project Management",21549
"j2ee","J2EE",32745
"java-server-side","Java Server Side",141733
